-1056,15232,5608,-188,-298,262,31.59,1006.9,1229.76,1655,229,1
-1164,15104,5676,-201,-212,-6,31.64,1006.94,1229.81,1655,229,2
-1160,15284,5776,-251,-270,181,31.78,1006.9,1229.76,1655,229,3
-1184,15216,5720,-223,-172,-3,31.82,1006.88,1229.74,1655,229,4
-1244,15220,5620,-217,-113,-47,31.92,1006.88,1229.74,1655,229,5
-1160,15184,5784,-199,-252,248,31.87,1006.92,1229.79,1655,229,6
-1212,15100,5620,-225,-176,43,31.87,1006.86,1229.71,1655,229,7
-1272,15300,5524,-108,-329,257,31.97,1006.91,1229.77,1655,229,8
-1232,15124,5652,-218,-103,-126,31.92,1006.9,1229.76,1655,229,9
-1124,15144,5624,-181,-198,-40,32.01,1006.9,1229.76,1655,229,10
-1116,15228,5764,-210,-145,-96,31.87,1006.89,1229.74,1655,229,11
-1132,15288,5752,-233,-171,0,32.01,1006.88,1229.73,1655,229,12
-1328,15168,5676,-209,-222,107,32.11,1006.9,1229.76,1655,229,13
-1196,15220,5784,-197,-218,91,32.11,1006.92,1229.79,1655,229,14
-1188,15108,5732,-244,-131,-81,32.15,1006.92,1229.79,1655,229,15
-1180,15188,5632,-231,-175,77,32.06,1006.92,1229.79,1655,229,16
-1244,15224,5600,-209,-263,233,32.11,1006.89,1229.74,1655,229,17
-1268,15184,5632,-207,-169,34,32.29,1006.91,1229.78,1655,231,18
-1280,15132,5556,-168,-224,96,32.39,1006.9,1229.76,1655,231,19
-1284,15220,5696,-204,-174,8,32.34,1006.89,1229.75,1655,229,20
-1224,15188,5692,-242,-182,46,32.25,1006.91,1229.77,1655,229,21
-1296,15292,5744,-214,-249,188,32.29,1006.87,1229.73,1655,229,22
-1312,15136,5512,-224,-201,155,32.44,1006.86,1229.72,1655,229,23
-1292,15280,5640,-163,-284,279,32.44,1006.88,1229.74,1655,229,24
-1260,15080,5600,-224,-165,-117,32.39,1006.87,1229.73,1655,229,25
-1252,15120,5564,-185,-163,48,32.39,1006.87,1229.73,1655,229,26
-1316,15200,5576,-220,-208,131,32.39,1006.89,1229.75,1655,229,27
-1228,15372,5764,-262,-120,-116,32.44,1006.87,1229.73,1655,229,28
-1156,15164,5936,-204,-254,168,32.34,1006.84,1229.68,1655,229,29
-1300,15280,5732,-213,-187,19,32.44,1006.86,1229.71,1655,229,30
-1360,15108,5764,-273,-119,-15,32.44,1006.88,1229.74,1655,229,31
-1152,15160,5620,-227,-205,-100,32.39,1006.87,1229.72,1655,229,32
-1460,15240,5752,-189,-223,77,32.29,1006.87,1229.73,1655,229,33
-1428,15192,5732,-204,-155,-177,32.48,1006.86,1229.72,1655,229,34
-1344,15136,5636,-171,-274,177,32.39,1006.92,1229.78,1655,229,35
-1368,15184,5704,-202,-173,38,32.44,1006.9,1229.76,1655,229,36
-1312,15128,5612,-182,-165,4,32.34,1006.92,1229.79,1655,229,37
-1368,15148,5480,-222,-236,127,32.48,1006.94,1229.81,1655,229,38
-1272,15136,5704,-204,-217,82,32.44,1006.92,1229.79,1655,229,39
-1372,15252,5696,-233,-139,-68,32.48,1006.89,1229.76,1655,229,40
-1260,15024,5472,-250,-203,-27,32.39,1006.89,1229.75,1655,229,41
-1240,15132,5632,-175,-278,194,32.44,1006.9,1229.76,1655,229,42
-1404,15124,5724,-182,-233,86,32.34,1006.9,1229.76,1655,229,43
-1364,15168,5696,-164,-217,141,32.48,1006.89,1229.75,1655,229,44
-1264,15104,5732,-234,-211,76,32.48,1006.92,1229.78,1655,229,45
-1416,15108,5660,-207,-214,99,32.48,1006.86,1229.72,1655,229,46
-1328,15240,5768,-290,-18,-255,32.53,1006.94,1229.82,1655,229,47
-1432,15232,5624,-224,-196,2,32.48,1006.87,1229.73,1655,229,48
-1304,15172,5752,-207,-185,-27,32.44,1006.9,1229.76,1655,229,49
-1448,15240,5604,-133,-296,267,32.44,1006.88,1229.73,1655,229,50
-1392,15092,5668,-208,-211,112,32.44,1006.89,1229.75,1655,229,51
-1420,15140,5764,-117,-293,176,32.53,1006.9,1229.77,1655,229,52
-1384,15188,5664,-188,-188,48,32.39,1006.92,1229.78,1655,229,53
-1212,15268,5784,-165,-200,6,32.44,1006.9,1229.76,1655,229,54
-1260,15164,5640,-220,-233,119,32.44,1006.85,1229.7,1655,229,55
-1368,15188,5724,-305,-105,-46,32.48,1006.88,1229.74,1655,229,56
-1260,15224,5636,-246,-138,-88,32.53,1006.9,1229.77,1655,229,57
-1388,15092,5704,-243,-220,160,32.48,1006.85,1229.7,1655,229,58
-1456,15172,5704,-167,-253,98,32.53,1006.87,1229.73,1655,229,59
-1300,15252,5632,-199,-150,8,32.58,1006.91,1229.77,1655,229,60
-1308,15164,5552,-215,-192,-53,32.48,1006.84,1229.68,1655,229,61
-1464,15160,5720,-209,-157,-22,32.53,1006.86,1229.71,1655,229,62
-1368,15164,5740,-247,-212,123,32.53,1006.93,1229.79,1655,229,63
-1252,15156,5792,-210,-215,103,32.44,1006.84,1229.68,1655,229,64
-1332,15148,5824,-286,-113,-89,32.67,1006.94,1229.81,1655,229,65
-1448,15192,5616,-155,-208,34,32.58,1006.92,1229.78,1655,229,66
-1240,15172,5732,-287,-231,109,32.48,1006.89,1229.75,1655,229,67
-1388,15256,5660,-154,-261,174,32.53,1006.91,1229.77,1655,229,68
-1484,15284,5608,-169,-148,32,32.53,1006.96,1229.84,1655,229,69
