0,1,2,3,4
15.0,229.0,32.15,1006.92,1655.0
16.0,229.0,32.06,1006.92,1655.0
17.0,229.0,32.11,1006.89,1655.0
18.0,231.0,32.29,1006.91,1655.0
19.0,231.0,32.39,1006.9,1655.0
20.0,229.0,32.34,1006.89,1655.0
